"""passé composé""","""empty""","""je""","""tu""","""il ""","""elle""","""nous""","""vous""","""ils""","""elles"""
"""expliquer""","""to explain""","""ai expliqué""","""as expliqué""","""a expliqué""","""a expliqué""","""avons expliqué""","""avez expliqué""","""ont expliqué""","""ont expliqué"""
"""fermer""","""to close""","""ai fermé""","""as fermé""","""a fermé""","""a fermé""","""avons fermé""","""avez fermé""","""ont fermé""","""ont fermé"""
"""garder""","""to keep""","""ai gardé""","""as gardé""","""a gardé""","""a gardé""","""avons gardé""","""avez gardé""","""ont gardé""","""ont gardé"""
"""habiter""","""to live""","""ai habité""","""as habité""","""a habité""","""a habité""","""avons habité""","""avez habité""","""ont habité""","""ont habité"""
"""indiquer""","""to indicate""","""ai indiqué""","""as indiqué""","""a indiqué""","""a indiqué""","""avons indiqué""","""avez indiqué""","""ont indiqué""","""ont indiqué"""
"""inviter""","""to invite""","""ai invité""","""as invité""","""a invité""","""a invité""","""avons invité""","""avez invité""","""ont invité""","""ont invité"""
"""jouer""","""to play""","""ai joué""","""as joué""","""a joué""","""a joué""","""avons joué""","""avez joué""","""ont joué""","""ont joué"""
"""laisser""","""to leave, to let""","""ai laissé""","""as laissé""","""a laissé""","""a laissé""","""avons laissé""","""avez laissé""","""ont laissé""","""ont laissé"""
"""laver""","""to wash""","""ai lavé""","""as lavé""","""a lavé""","""a lavé""","""avons lavé""","""avez lavé""","""ont lavé""","""ont lavé"""
"""louer""","""to rent""","""ai loué""","""as loué""","""a loué""","""a loué""","""avons loué""","""avez loué""","""ont loué""","""ont loué"""
"""manger""","""to eat""","""ai mangé""","""as mangé""","""a mangé""","""a mangé""","""avons mangé""","""avez mangé""","""ont mangé""","""ont mangé"""
"""marcher""","""to walk""","""ai marché""","""as marché""","""a marché""","""a marché""","""avons marché""","""avez marché""","""ont marché""","""ont marché"""
"""monter""","""to go up""","""suis monté""","""es monté""","""est monté""","""est montée""","""sommes montés""","""êtes montés""","""sont montés""","""sont montées"""
"""nager""","""to swim""","""ai nagé""","""as nagé""","""a nagé""","""a nagé""","""avons nagé""","""avez nagé""","""ont nagé""","""ont nagé"""
"""naviguer""","""to navigate""","""ai navigué""","""as navigué""","""a navigué""","""a navigué""","""avons navigué""","""avez navigué""","""ont navigué""","""ont navigué"""
"""nettoyer""","""to clean""","""ai nettoyé""","""as nettoyé""","""a nettoyé""","""a nettoyé""","""avons nettoyé""","""avez nettoyé""","""ont nettoyé""","""ont nettoyé"""
"""organiser""","""to organise""","""ai organisé""","""as organisé""","""a organisé""","""a organisé""","""avons organisé""","""avez organisé""","""ont organisé""","""ont organisé"""
"""oublier""","""to forget""","""ai oublié""","""as oublié""","""a oublié""","""a oublié""","""avons oublié""","""avez oublié""","""ont oublié""","""ont oublié"""
"""parler""","""to speak""","""ai parlé""","""as parlé""","""a parlé""","""a parlé""","""avons parlé""","""avez parlé""","""ont parlé""","""ont parlé"""
"""partager""","""to share""","""ai partagé""","""as partagé""","""a partagé""","""a partagé""","""avons partagé""","""avez partagé""","""ont partagé""","""ont partagé"""
"""passer""","""to pass, spend time""","""ai passé""","""as passé""","""a passé""","""a passé""","""avons passé""","""avez passé""","""ont passé""","""ont passé"""
"""penser""","""to think""","""ai pensé""","""as pensé""","""a pensé""","""a pensé""","""avons pensé""","""avez pensé""","""ont pensé""","""ont pensé"""
"""posséder""","""to own""","""ai possédé""","""as possédé""","""a possédé""","""a possédé""","""avons possédé""","""avez possédé""","""ont possédé""","""ont possédé"""
"""préférer""","""to prefer""","""ai préféré""","""as préféré""","""a préféré""","""a préféré""","""avons préféré""","""avez préféré""","""ont préféré""","""ont préféré"""
"""préparer""","""to prepare""","""ai préparé""","""as préparé""","""a préparé""","""a préparé""","""avons préparé""","""avez préparé""","""ont préparé""","""ont préparé"""
"""profiter""","""to enjoy, to profit""","""ai profité""","""as profité""","""a profité""","""a profité""","""avons profité""","""avez profité""","""ont profité""","""ont profité"""
"""proposer""","""to propose""","""ai proposé""","""as proposé""","""a proposé""","""a proposé""","""avons proposé""","""avez proposé""","""ont proposé""","""ont proposé"""
"""quitter""","""to leave someone or something""","""ai quitté""","""as quitté""","""a quitté""","""a quitté""","""avons quitté""","""avez quitté""","""ont quitté""","""ont quitté"""
"""ranger""","""to put away, to clean up""","""ai rangé""","""as rangé""","""a rangé""","""a rangé""","""avons rangé""","""avez rangé""","""ont rangé""","""ont rangé"""
"""réaliser""","""to achieve,  to understand""","""ai réalisé""","""as réalisé""","""a réalisé""","""a réalisé""","""avons réalisé""","""avez réalisé""","""ont réalisé""","""ont réalisé"""
"""remercier""","""to thank""","""ai remercié""","""as remercié""","""a remercié""","""a remercié""","""avons remercié""","""avez remercié""","""ont remercié""","""ont remercié"""
"""rentrer""","""to go back in""","""suis rentré""","""es rentré""","""est rentré""","""est rentrée""","""sommes rentrés""","""êtes rentrés""","""sont rentrés""","""sont rentrées"""
"""repousser""","""to postpone, to push away""","""ai repoussé""","""as repoussé""","""a repoussé""","""a repoussé""","""avons repoussé""","""avez repoussé""","""ont repoussé""","""ont repoussé"""
"""réserver""","""to book""","""ai réservé""","""as réservé""","""a réservé""","""a réservé""","""avons réservé""","""avez réservé""","""ont réservé""","""ont réservé"""
"""respecter""","""to respect""","""ai respecté""","""as respecté""","""a respecté""","""a respecté""","""avons respecté""","""avez respecté""","""ont respecté""","""ont respecté"""
"""rester""","""to stay""","""suis resté""","""es resté""","""est resté""","""est restée""","""sommes restés""","""êtes restés""","""sont restés""","""sont restées"""
"""retourner""","""to go back""","""suis retourné""","""es retourné""","""est retourné""","""est retournée""","""sommes retournés""","""êtes retournés""","""sont retournés""","""sont retournées"""
"""simplifier""","""to simplify""","""ai simplifié""","""as simplifié""","""a simplifié""","""a simplifié""","""avons simplifié""","""avez simplifié""","""ont simplifié""","""ont simplifié"""
"""téléphoner""","""to call on the phone""","""ai téléphoné""","""as téléphoné""","""a téléphoné""","""a téléphoné""","""avons téléphoné""","""avez téléphoné""","""ont téléphoné""","""ont téléphoné"""
"""tomber""","""to fall""","""suis tombé""","""es tombé""","""est tombé""","""est tombée""","""sommes tombés""","""êtes tombés""","""sont tombés""","""sont tombées"""
"""tourner""","""to turn""","""ai tourné""","""as tourné""","""a tourné""","""a tourné""","""avons tourné""","""avez tourné""","""ont tourné""","""ont tourné"""
"""travailler""","""to work""","""ai travaillé""","""as travaillé""","""a travaillé""","""a travaillé""","""avons travaillé""","""avez travaillé""","""ont travaillé""","""ont travaillé"""
"""traverser""","""to cross""","""ai traversé""","""as traversé""","""a traversé""","""a traversé""","""avons traversé""","""avez traversé""","""ont traversé""","""ont traversé"""
"""trouver""","""to find""","""ai trouvé""","""as trouvé""","""a trouvé""","""a trouvé""","""avons trouvé""","""avez trouvé""","""ont trouvé""","""ont trouvé"""
"""vider""","""to empty""","""ai vidé""","""as vidé""","""a vidé""","""a vidé""","""avons vidé""","""avez vidé""","""ont vidé""","""ont vidé"""
"""voyager""","""to travel""","""ai voyagé""","""as voyagé""","""a voyagé""","""a voyagé""","""avons voyagé""","""avez voyagé""","""ont voyagé""","""ont voyagé"""
,,,,,,,,,
"""accomplir""","""to accomplish""","""ai accompli""","""as accompli""","""a accompli""","""a accompli""","""avons accompli""","""avez accompli""","""ont accompli""","""ont accompli"""
"""agir""","""to act""","""ai agi""","""as agi""","""a agi""","""a agi""","""avons agi""","""avez agi""","""ont agi""","""ont agi"""
"""avertir""","""to warn""","""ai averti""","""as averti""","""a averti""","""a averti""","""avons averti""","""avez averti""","""ont averti""","""ont averti"""
"""choisir""","""to choose""","""ai choisi""","""as choisi""","""a choisi""","""a choisi""","""avons choisi""","""avez choisi""","""ont choisi""","""ont choisi"""
"""finir""","""to finish""","""ai fini""","""as fini""","""a fini""","""a fini""","""avons fini""","""avez fini""","""ont fini""","""ont fini"""
"""grandir""","""to grow""","""ai grandi""","""as grandi""","""a grandi""","""a grandi""","""avons grandi""","""avez grandi""","""ont grandi""","""ont grandi"""
