"""oublier""","""to forget""","""oubliais""","""oubliais""","""oubliait""","""oubliions""","""oubliiez""","""oubliaient"""
"""parler""","""to speak""","""parlais""","""parlais""","""parlait""","""parlions""","""parliez""","""parlaient"""
"""partager""","""to share""","""partageais""","""partageais""","""partageait""","""partagions""","""partagiez""","""partageaient"""
"""passer""","""to pass, spend time""","""passais""","""passais""","""passait""","""passions""","""passiez""","""passaient"""
"""penser""","""to think""","""pensais""","""pensais""","""pensait""","""pensions""","""pensiez""","""pensaient"""
"""posséder""","""to own""","""possédais""","""possédais""","""possédait""","""possédions""","""possédiez""","""possédaient"""
"""préférer""","""to prefer""","""préférais""","""préférais""","""préférait""","""préférions""","""préfériez""","""préféraient"""
"""préparer""","""to prepare""","""préparais""","""préparais""","""préparait""","""préparions""","""prépariez""","""préparaient"""
"""profiter""","""to enjoy, to profit""","""profitais""","""profitais""","""profitait""","""profitions""","""profitiez""","""profitaient"""
"""proposer""","""to propose""","""proposais""","""proposais""","""proposait""","""proposions""","""proposiez""","""proposaient"""
"""quitter""","""to leave someone or something""","""quittais""","""quittais""","""quittait""","""quittions""","""quittiez""","""quittaient"""
"""ranger""","""to put away, to clean up""","""rangeais""","""rangeais""","""rangeait""","""rangions""","""rangiez""","""rangeaient"""
"""réaliser""","""to achieve,  to understand""","""réalisais""","""réalisais""","""réalisait""","""réalisions""","""réalisiez""","""réalisaient"""
"""remercier""","""to thank""","""remerciais""","""remerciais""","""remerciait""","""remerciions""","""remerciiez""","""remerciaient"""
"""rentrer""","""to go back in""","""rentrais""","""rentrais""","""rentrait""","""rentrions""","""rentriez""","""rentraient"""
"""repousser""","""to postpone, to push away""","""repoussais""","""repoussais""","""repoussait""","""repoussions""","""repoussiez""","""repoussaient"""
"""réserver""","""to book""","""réservais""","""réservais""","""réservait""","""réservions""","""réserviez""","""réservaient"""
"""respecter""","""to respect""","""respectais""","""respectais""","""respectait""","""respections""","""respectiez""","""respectaient"""
"""rester""","""to stay""","""restais""","""restais""","""restait""","""restions""","""restiez""","""restaient"""
"""retourner""","""to go back""","""retournais""","""retournais""","""retournait""","""retournions""","""retourniez""","""retournaient"""
"""simplifier""","""to simplify""","""simplifiais""","""simplifiais""","""simplifiait""","""simplifiions""","""simplifiiez""","""simplifiaient"""
"""téléphoner""","""to call on the phone""","""téléphonais""","""téléphonais""","""téléphonait""","""téléphonions""","""téléphoniez""","""téléphonaient"""
"""tomber""","""to fall""","""tombais""","""tombais""","""tombait""","""tombions""","""tombiez""","""tombaient"""
"""tourner""","""to turn""","""tournais""","""tournais""","""tournait""","""tournions""","""tourniez""","""tournaient"""
"""travailler""","""to work""","""travaillais""","""travaillais""","""travaillait""","""travaillions""","""travailliez""","""travaillaient"""
"""traverser""","""to cross""","""traversais""","""traversais""","""traversait""","""traversions""","""traversiez""","""traversaient"""
"""trouver""","""to find""","""trouvais""","""trouvais""","""trouvait""","""trouvions""","""trouviez""","""trouvaient"""
"""vider""","""to empty""","""vidais""","""vidais""","""vidait""","""vidions""","""vidiez""","""vidaient"""
"""voyager""","""to travel""","""voyageais""","""voyageais""","""voyageait""","""voyagions""","""voyagiez""","""voyageaient"""
,,,,,,,
"""accomplir""","""to accomplish""","""accomplissais""","""accomplissais""","""accomplissait""","""accomplissions""","""accomplissiez""","""accomplissaient"""
"""agir""","""to act""","""agissais""","""agissais""","""agissait""","""agissions""","""agissiez""","""agissaient"""
"""avertir""","""to warn""","""avertissais""","""avertissais""","""avertissait""","""avertissions""","""avertissiez""","""avertissaient"""
"""choisir""","""to choose""","""choisissais""","""choisissais""","""choisissait""","""choisissions""","""choisissiez""","""choisissaient"""
"""finir""","""to finish""","""finissais""","""finissais""","""finissait""","""finissions""","""finissiez""","""finissaient"""
"""grandir""","""to grow""","""grandissais""","""grandissais""","""grandissait""","""grandissions""","""grandissiez""","""grandissaient"""
"""grossir""","""to get bigger""","""grossissais""","""grossissais""","""grossissait""","""grossissions""","""grossissiez""","""grossissaient"""
"""guérir""","""to heal""","""guérissais""","""guérissais""","""guérissait""","""guérissions""","""guérissiez""","""guérissaient"""
"""maigrir""","""to loose weight""","""maigrissais""","""maigrissais""","""maigrissait""","""maigrissions""","""maigrissiez""","""maigrissaient"""
"""obéir""","""to obey""","""obéissais""","""obéissais""","""obéissait""","""obéissions""","""obéissiez""","""obéissaient"""
"""réagir""","""to react""","""réagissais""","""réagissais""","""réagissait""","""réagissions""","""réagissiez""","""réagissaient"""
"""réfléchir""","""to think, reflect""","""réfléchissais""","""réfléchissais""","""réfléchissait""","""réfléchissions""","""réfléchissiez""","""réfléchissaient"""
"""refroidir""","""to cool down""","""refroidissais""","""refroidissais""","""refroidissait""","""refroidissions""","""refroidissiez""","""refroidissaient"""
"""remplir""","""to fill""","""remplissais""","""remplissais""","""remplissait""","""remplissions""","""remplissiez""","""remplissaient"""
"""réussir""","""to succeed""","""réussissais""","""réussissais""","""réussissait""","""réussissions""","""réussissiez""","""réussissaient"""
"""rougir""","""to turn red, blush""","""rougissais""","""rougissais""","""rougissait""","""rougissions""","""rougissiez""","""rougissaient"""
"""vieillir""","""to get older""","""vieillissais""","""vieillissais""","""vieillissait""","""vieillissions""","""vieillissiez""","""vieillissaient"""
,,,,,,,
"""admettre""","""to admit""","""admettais""","""admettais""","""admettait""","""admettions""","""admettiez""","""admettaient"""
